source_date,source_page,page_number,title,venue,start_datetime,category_raw,event_url
2026-09-16,https://do215.com/events/2026/09/16,1,"Future Days Beer Go Big, Go Birds Giveaway",Future Days Beer,2026-08-26T12:00-0400,food-drink,https://do215.com/events/2026/8/26/future-days-beer-go-big-go-birds-giveaway-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Staind: Break The Cycle 25th Anniversary Tour,Freedom Mortgage Pavilion,2026-09-16T18:00-0400,music,https://do215.com/events/2026/9/16/staind-break-the-cycle-25th-anniversary-tour-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Sparta,Warehouse on Watts,2026-09-16T19:00-0400,dj-parties,https://do215.com/events/2026/9/16/sparta-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Circa Survive,The Fillmore,2026-09-16T19:30-0400,music,https://do215.com/events/2026/9/16/circa-survive-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Danny Elfman,The Met,2026-09-16T20:30-0400,music,https://do215.com/events/2026/9/16/danny-elfman-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Sparta,Warehouse on Watts - Cambridge Hall,2026-09-16T19:00-0400,music,https://do215.com/events/2026/9/16/sparta-tickets-w1dgjqr
2026-09-16,https://do215.com/events/2026/09/16,1,Rufus Wainwright,City Winery,2026-09-16T19:30-0400,music,https://do215.com/events/2026/9/16/rufus-wainwright-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,"Container, Gloorp, and Echotracer",Ortlieb's,2026-09-16T19:00-0400,music,https://do215.com/events/2026/9/16/container-gloorp-and-echotracer-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Comedy Allstars,Punch Line,2026-09-16T19:30-0400,comedy,https://do215.com/events/2026/9/16/comedy-allstars-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Global Quizzo: Germany,The German Society of Pennsylvania,2026-09-16T18:00-0400,arts-culture,https://do215.com/events/2026/9/16/global-quizzo-germany-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Fall: Beginner II (1B) In Person,The German Society of Pennsylvania,2026-09-16T18:00-0400,arts-culture,https://do215.com/events/2026/9/16/fall-beginner-ii-1b-in-person-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Culture Wars,The Foundry,2026-09-16T20:00-0400,music,https://do215.com/events/2026/9/16/culture-wars-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Soda Blonde,Johnny Brenda's,2026-09-16T20:00-0400,music,https://do215.com/events/2026/9/16/soda-blonde-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Empty Heaven ~ Cheap 52 ~ Granddogs,Silk City,2026-09-16T19:30-0400,music,https://do215.com/events/2026/9/16/empty-heaven-cheap-52-granddogs-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,nate sib: reborn tour,Theater of the Living Arts,2026-09-16T20:00-0400,music,https://do215.com/events/2026/9/16/nate-sib-reborn-tour-tickets-b9gdavg
2026-09-16,https://do215.com/events/2026/09/16,1,Angine de Poitrine **SOLD OUT**,Underground Arts,2026-09-16T20:00-0400,music,https://do215.com/events/2026/9/16/angine-de-poitrine-tickets
2026-09-16,https://do215.com/events/2026/09/16,1,Rend Collective,World Stage Live,2026-09-16T20:00-0400,music,https://do215.com/events/2026/9/16/rend-collective-tickets
