source_date,source_page,page_number,title,venue,start_datetime,category_raw,event_url
2026-09-19,https://do215.com/events/2026/09/19,1,Ed Sheeran: LOOP Tour,Lincoln Financial Field,2026-09-19T20:00-0400,music,https://do215.com/events/2026/9/19/ed-sheeran-loop-tour-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,"Future Days Beer Go Big, Go Birds Giveaway",Future Days Beer,2026-08-26T12:00-0400,food-drink,https://do215.com/events/2026/8/26/future-days-beer-go-big-go-birds-giveaway-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Miley: Official Bass Persuades Merch Pop-Up,2576 FRANKFORD AVE,2026-09-18T12:00-0400,music,https://do215.com/events/2026/9/18/miley-pop-up-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,An Evening with Dolph Lundgren: Fights Worth Fighting,Temple Performing Arts Center: Lew Klein Hall,2026-09-19T19:00-0400,arts-culture,https://do215.com/events/2026/9/19/an-evening-with-dolph-lundgren-fights-worth-fighting-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,‘(Keep Feeling) FASCINATION’ UK Synthpop and New Wave Dance Party,The 700,2026-09-19T21:00-0400,dj-parties,https://do215.com/events/2026/9/19/keep-feeling-fascination-uk-synthpop-and-new-wave-dance-party-1788196639
2026-09-19,https://do215.com/events/2026/09/19,1,Jason Aldean: Songs About Us Tour 2026,Freedom Mortgage Pavilion,2026-09-19T19:30-0400,music,https://do215.com/events/2026/9/19/jason-aldean-songs-about-us-tour-2026-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,The Garden,Franklin Music Hall,2026-09-19T20:00-0400,music,https://do215.com/events/2026/9/19/the-garden-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Ben Harper & The Innocent Criminals,Union Transfer,2026-09-19T20:00-0400,music,https://do215.com/events/2026/9/19/ben-harper-the-innocent-criminals-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Ali Wong Live,Wind Creek Event Center,2026-09-19T20:00-0400,comedy,https://do215.com/events/2026/9/19/ali-wong-live-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Pat Metheny,Miller Theater,2026-09-19T20:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/19/pat-metheny-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Pat Metheny,Miller Theater,2026-09-19T20:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/19/pat-metheny-tickets-b98p0vq
2026-09-19,https://do215.com/events/2026/09/19,1,An Evening with Jennifer Knapp,The Fallser Club,2026-09-19T20:00-0400,music,https://do215.com/events/2026/9/19/an-evening-with-jennifer-knapp-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Philadelphia Fall Arts Fest,Kimmel Center,2026-09-19T11:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/19/free-philadelphia-fall-arts-fest-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Kathleen Madigan: Flying Cats & Marching Armadillos Tour,Hershey Theatre,2026-09-19T19:00-0400,comedy,https://do215.com/events/2026/9/19/kathleen-madigan-flying-cats-marching-armadillos-tour-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Corey Holcomb,Lansdowne Theater,2026-09-19T19:00-0400,music,https://do215.com/events/2026/9/19/corey-holcomb-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Malcolm Todd: Do That Again Tour,The Met,2026-09-19T20:00-0400,music,https://do215.com/events/2026/9/19/malcolm-todd-do-that-again-tour-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,XPoNential Music Festival,Camden Waterfront,2026-09-18T13:00-0400,music,https://do215.com/xponential-music-festival
2026-09-19,https://do215.com/events/2026/09/19,1,Michael Carbonaro,Xcite Center at Parx Casino,2026-09-19T20:00-0400,arts-family,https://do215.com/events/2026/9/19/michael-carbonaro-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Sea.Hear.Now Festival,Asbury Park,2026-09-19T12:00-0400,music,https://do215.com/sea-hear-now-festival-tickets
2026-09-19,https://do215.com/events/2026/09/19,1,Big Sandy & His Fly-Rite Boys w/ Mighty Joe Castro,Elkton Music Hall,2026-09-19T19:00-0400,music,https://do215.com/events/2026/9/19/big-sandy-his-fly-rite-boys-tickets
