source_date,source_page,page_number,title,venue,start_datetime,category_raw,event_url
2026-09-15,https://do215.com/events/2026/09/15,1,"Future Days Beer Go Big, Go Birds Giveaway",Future Days Beer,2026-08-26T12:00-0400,food-drink,https://do215.com/events/2026/8/26/future-days-beer-go-big-go-birds-giveaway-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Claude's Comedy Club: Laugh Pass,Claude's Comedy Club & Bar,2026-09-15T17:00-0400,comedy,https://do215.com/events/2026/9/15/claudes-comedy-laugh-pass-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Circa Survive,The Fillmore,2026-09-15T19:30-0400,music,https://do215.com/events/2026/9/15/circa-survive-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Iron Maiden: Run For Your Lives World Tour 2026,Hershey Park Stadium,2026-09-15T19:15-0400,music,https://do215.com/events/2026/9/15/iron-maiden-run-for-your-lives-world-tour-2026-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Rufus Wainwright,City Winery,2026-09-15T19:30-0400,music,https://do215.com/events/2026/9/15/rufus-wainwright-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Wax + DJ Hoppa with Grieves,The Foundry,2026-09-15T20:00-0400,music,https://do215.com/events/2026/9/15/wax-dj-hoppa-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Nai Palm (of Hiatus Kaiyote),Ardmore Music Hall,2026-09-15T19:30-0400,music,https://do215.com/events/2026/9/15/nai-palm-of-hiatus-kaiyote-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Cardinals,Johnny Brenda's,2026-09-15T20:00-0400,music,https://do215.com/events/2026/9/15/cardinals-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Davy Knowles,Elkton Music Hall,2026-09-15T19:00-0400,music,https://do215.com/events/2026/9/15/davy-knowles-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Fall: Beginner I (1A) In Person,The German Society of Pennsylvania,2026-09-15T18:00-0400,arts-culture,https://do215.com/events/2026/9/15/fall-beginner-i-1a-in-person-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Fall: Intermediate II (2B) In Person,The German Society of Pennsylvania,2026-09-15T18:00-0400,arts-culture,https://do215.com/events/2026/9/15/fall-intermediate-ii-2b-in-person-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Justin Hayward,Keswick Theatre,2026-09-15T20:00-0400,music,https://do215.com/events/2026/9/15/justin-hayward-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,PRESIDENT: North American Campaign 2026,Theater of the Living Arts,2026-09-15T19:30-0400,music,https://do215.com/events/2026/9/15/president-north-american-campaign-2026-tickets-8akdpw0
2026-09-15,https://do215.com/events/2026/09/15,1,Grace Cummings,MilkBoy,2026-09-15T20:00-0400,music,https://do215.com/events/2026/9/15/grace-cummings-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,Galactic Empire,Nikki Lopez,2026-09-15T19:00-0400,music,https://do215.com/events/2026/9/15/galactic-empire-tickets
2026-09-15,https://do215.com/events/2026/09/15,1,PRESIDENT: North American Campaign 2026,Theatre of Living Arts,2026-09-15T19:30-0400,music,https://do215.com/events/2026/9/15/president-north-american-campaign-2026-tickets
