source_date,source_page,page_number,title,venue,start_datetime,category_raw,event_url
2026-09-17,https://do215.com/events/2026/09/17,1,"Future Days Beer Go Big, Go Birds Giveaway",Future Days Beer,2026-08-26T12:00-0400,food-drink,https://do215.com/events/2026/8/26/future-days-beer-go-big-go-birds-giveaway-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Lee Brice,Stateside Live!,2026-09-17T20:00-0400,music,https://do215.com/events/2026/9/17/lee-brice-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Dying Fetus & Sanguisugabogg,Franklin Music Hall,2026-09-17T19:00-0400,music,https://do215.com/events/2026/9/17/dying-fetus-sanguisugabogg-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Circa Survive,The Fillmore,2026-09-17T19:30-0400,music,https://do215.com/events/2026/9/17/circa-survive-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,ADÉLA: The Red Bottoms Tour,Theater of the Living Arts,2026-09-17T20:00-0400,music,https://do215.com/events/2026/9/17/adela-the-red-bottoms-tour-tickets-pb6qobo
2026-09-17,https://do215.com/events/2026/09/17,1,Marcus Monroe,City Winery,2026-09-17T18:30-0400,music,https://do215.com/events/2026/9/17/marcus-monroe-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Chris Smither,Elkton Music Hall,2026-09-17T19:00-0400,music,https://do215.com/events/2026/9/17/chris-smither-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Sasha Velour Travesty,Miller Theater,2026-09-17T19:30-0400,theatre-performing-arts,https://do215.com/events/2026/9/17/sasha-velour-travesty-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Sasha Velour Travesty,Miller Theater,2026-09-17T19:30-0400,theatre-performing-arts,https://do215.com/events/2026/9/17/sasha-velour-travesty-tickets-abz8q3p
2026-09-17,https://do215.com/events/2026/09/17,1,Rufus Wainwright,City Winery,2026-09-17T19:30-0400,music,https://do215.com/events/2026/9/17/rufus-wainwright-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Portrait of a Citizen: Stephen Girard,The German Society of Pennsylvania,2026-09-17T18:00-0400,arts-culture,https://do215.com/events/2026/9/17/portrait-of-a-citizen-stephen-girard-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,ADÉLA: The Red Bottoms Tour,Theatre of Living Arts,2026-09-17T20:00-0400,music,https://do215.com/events/2026/9/17/adela-the-red-bottoms-tour-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,PTO Thursdays: Pan-Pot,NOTO Philadelphia,2026-09-17T20:00-0400,dj-parties,https://do215.com/events/2026/9/17/pto-thursdays-pan-pot-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Fairmount Farmers Market,22nd & Fairmount,2026-09-17T15:00-0400,market,https://do215.com/events/weekly/thu/fairmount-farmers-market
2026-09-17,https://do215.com/events/2026/09/17,1,Many Eyes ~ GORF ~ Monstertruck Firetruck,Kung Fu Necktie,2026-09-17T19:00-0400,music,https://do215.com/events/2026/9/17/many-eyes-gorf-monstertruck-firetruck-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Bart Budwig,Black Squirrel Club,2026-09-17T19:30-0400,music,https://do215.com/events/2026/9/17/bart-budwig-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,"ear, with Slauson Malone 1, HappyDranker",First Unitarian Church,2026-09-17T20:00-0400,music,https://do215.com/events/2026/9/17/ear-with-slauson-malone-1-happydranker-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Friendly Feud,Underground Arts,2026-09-17T19:00-0400,dj-parties,https://do215.com/events/2026/9/17/friendly-feud-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Rick Glassman,Helium Comedy Club,2026-09-17T19:30-0400,comedy,https://do215.com/events/2026/9/17/rick-glassman-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,9Million and Deux Visages,Spruce Street Harbor,2026-09-17T18:00-0400,music,https://do215.com/events/2026/9/17/free-show-9million-and-deux-visages-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Mike Cronin - CANCELLED,Claude's Comedy Club & Bar,2026-09-17T19:00-0400,comedy,https://do215.com/events/2026/9/17/mike-cronin-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Just Ask Angie,The Trestle Inn,2026-09-17T19:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/17/just-ask-angie-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Olivia Carter,Punch Line,2026-09-17T19:30-0400,comedy,https://do215.com/events/2026/9/17/olivia-carter-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Nate Tota Septet,Chris' Jazz Cafe,2026-09-17T19:30-0400,music,https://do215.com/events/2026/9/17/nate-tota-septet-tickets
2026-09-17,https://do215.com/events/2026/09/17,1,Duunes,MilkBoy,2026-09-17T20:00-0400,music,https://do215.com/events/2026/9/17/duunes-tickets
2026-09-17,https://do215.com/events/2026/09/17?page=2,2,Nate Tota Septet,Chris' Jazz Cafe,2026-09-17T21:00-0400,music,https://do215.com/events/2026/9/17/nate-tota-septet-tickets-kezglvl
2026-09-17,https://do215.com/events/2026/09/17?page=2,2,Franky's Angels,Franky Bradley's,2026-09-17T21:00-0400,dj-parties,https://do215.com/events/2026/9/17/franky-s-angels-tickets
2026-09-17,https://do215.com/events/2026/09/17?page=2,2,Priority Hoarding: A Retrospectacle,The Hairport,2026-09-17T16:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/17/priority-hoarding-a-retrospectacle-tickets
2026-09-17,https://do215.com/events/2026/09/17?page=2,2,Spiral Q Fundraiser: Puppet Karaoke & Dance Party,Pentridge Station,2026-09-17T17:00-0400,music,https://do215.com/events/2026/9/17/spiral-q-fundraiser-puppet-karaoke-dance-party-tickets
2026-09-17,https://do215.com/events/2026/09/17?page=2,2,Bartram’s Garden Photo Exhibit at Studio 34,Studio 34,2026-09-17T17:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/17/bartram-s-garden-photo-exhibit-at-studio-34-tickets
2026-09-17,https://do215.com/events/2026/09/17?page=2,2,Food: Chef Mel from The Golden Pineapple,Pentridge Station,2026-09-17T17:00-0400,food-drink,https://do215.com/events/2026/9/17/food-chef-mel-from-the-golden-pineapple-tickets
