source_date,source_page,page_number,title,venue,start_datetime,category_raw,event_url
2026-09-18,https://do215.com/events/2026/09/18,1,"Future Days Beer Go Big, Go Birds Giveaway",Future Days Beer,2026-08-26T12:00-0400,food-drink,https://do215.com/events/2026/8/26/future-days-beer-go-big-go-birds-giveaway-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Miley: Official Bass Persuades Merch Pop-Up,2576 FRANKFORD AVE,2026-09-18T12:00-0400,music,https://do215.com/events/2026/9/18/miley-pop-up-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Serious Sunlight: A Summer Happy Hour Dance Party,The Trestle Inn,2026-09-18T18:00-0400,dj-parties,https://do215.com/events/2026/9/18/serious-sunlight-a-summer-happy-hour-dance-party-1787772543
2026-09-18,https://do215.com/events/2026/09/18,1,Heavy Fringe Happy Hour,The International,2026-09-18T17:00-0400,dj-parties,https://do215.com/events/2026/9/18/heavy-fringe-happy-hour-1780497132
2026-09-18,https://do215.com/events/2026/09/18,1,Netflix is a Joke at Netflix House,Netflix House Philadelphia,2026-09-18T19:30-0400,arts-family,https://do215.com/events/2026/9/18/netflix-is-a-joke-at-netflix-house-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,The Neo Trapsoul Tour,Freedom Mortgage Pavilion,2026-09-18T19:30-0400,music,https://do215.com/events/2026/9/18/the-neo-trapsoul-tour-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Boyz II Men with The Philly Pops,Highmark Mann,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/boyz-ii-men-with-the-philly-pops-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Marc Maron,Keswick Theatre,2026-09-18T20:00-0400,arts-family,https://do215.com/events/2026/9/18/marc-maron-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Whitney,Ardmore Music Hall,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/whitney-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,"Nick Hakim, with Arima Ederra",First Unitarian Church,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/nick-hakim-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Dillon Francis,NOTO Philadelphia,2026-09-18T22:00-0400,dj-parties,https://do215.com/events/2026/9/18/dillon-francis-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,An Intimate Evening with Copeland,Elkton Music Hall,2026-09-18T19:00-0400,music,https://do215.com/events/2026/9/18/an-intimate-evening-with-copeland-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Frankie Valli & The Four Seasons: The Last Encores,Hershey Theatre,2026-09-18T19:30-0400,music,https://do215.com/events/2026/9/18/frankie-valli-the-four-seasons-the-last-encores-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Martin Sexton - Live Wide Open Tour,City Winery,2026-09-18T19:30-0400,music,https://do215.com/events/2026/9/18/martin-sexton-live-wide-open-tour-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Joe Lally / Jerry Busher / Yanni / Sun Within / Applied Knowledge,Khyber Pass Pub,2026-09-18T19:30-0400,music,https://do215.com/events/2026/9/18/joe-lally-jerry-busher-yanni-sun-within-applied-knowledge-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Brad Williams: The Tall Tales Tour,Miller Theater,2026-09-18T20:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/brad-williams-the-tall-tales-tour-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Bikini Kill,Union Transfer,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/bikini-kill-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Boyz II Men with the Philly Pops,Highmark Mann Center for the Performing Arts,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/boyz-ii-men-with-the-philly-pops-tickets-g0edgm9
2026-09-18,https://do215.com/events/2026/09/18,1,Smokey Robinson,Xcite Center at Parx Casino,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/smokey-robinson-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,French Police,The Foundry,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/french-police-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Brad Williams: The Tall Tales Tour,Miller Theater,2026-09-18T20:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/brad-williams-the-tall-tales-tour-tickets-1zwdmxn
2026-09-18,https://do215.com/events/2026/09/18,1,Shrek Rave,Theatre of Living Arts,2026-09-18T21:00-0400,music,https://do215.com/events/2026/9/18/shrek-rave-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,Shrek Rave,Theater of the Living Arts,2026-09-18T21:00-0400,music,https://do215.com/events/2026/9/18/shrek-rave-tickets-mmnp6le
2026-09-18,https://do215.com/events/2026/09/18,1,Charles Wesley Godwin - Christian Name Tour,The Fillmore,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/charles-wesley-godwin-christian-name-tour-tickets
2026-09-18,https://do215.com/events/2026/09/18,1,"Catbite, Chris Farren, and Megg",Spruce Street Harbor,2026-09-18T18:00-0400,music,https://do215.com/events/2026/9/18/free-show-catbite-chris-farren-and-megg-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Cheekface,Underground Arts,2026-09-18T20:30-0400,music,https://do215.com/events/2026/9/18/cheekface-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Malcolm Todd: Do That Again Tour,The Met,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/malcolm-todd-do-that-again-tour-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,XPoNential Music Festival,Camden Waterfront,2026-09-18T13:00-0400,music,https://do215.com/xponential-music-festival
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Ben Miller / Alec / Sync / Dimelo / Mykon,The Barbary,2026-09-18T22:00-0400,dj-parties,https://do215.com/events/2026/9/18/ben-miller-alec-sync-dimelo-mykon-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Pansy Division / Teenage Halloween / Hot Seat,PhilaMOCA,2026-09-18T20:00-0400,music,https://do215.com/events/2026/9/18/pansy-division-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Drew Nugent & The Midnight Society,Black Squirrel Club,2026-09-18T19:30-0400,music,https://do215.com/events/2026/9/18/drew-nugent-the-midnight-society-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,oskar med k,Franklin Music Hall,2026-09-18T22:00-0400,music,https://do215.com/events/2026/9/18/oskar-med-k-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Joe Kaplow ~ A Meadow ~ James Clark,Silk City,2026-09-18T19:30-0400,music,https://do215.com/events/2026/9/18/joe-kaplow-a-meadow-james-clark-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Rick Glassman,Helium Comedy Club,2026-09-18T19:00-0400,comedy,https://do215.com/events/2026/9/18/rick-glassman-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Rick Glassman,Helium Comedy Club,2026-09-18T21:15-0400,comedy,https://do215.com/events/2026/9/18/rick-glassman-tickets-re5aeyz
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Joe Fenti,Punch Line,2026-09-18T19:00-0400,comedy,https://do215.com/events/2026/9/18/joe-fenti-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Opera on Tap Philadelphia Presents: Pagliacci,Franky Bradley's,2026-09-18T19:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/opera-on-tap-philadelphia-presents-pagliacci-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,All The Way Down with Nine of Wands,The Sound Lounge,2026-09-18T20:00-0400,dj-parties,https://do215.com/events/2026/9/18/all-the-way-down-with-nine-of-wands-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,The Philadelphia Tom Petty Appreciation Band,Johnny Brenda's,2026-09-18T21:00-0400,music,https://do215.com/events/2026/9/18/the-philadelphia-tom-petty-appreciation-band-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Splou,Punch Line,2026-09-18T21:15-0400,comedy,https://do215.com/events/2026/9/18/splou-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,DJ Deejay’s Country Music Night Moshulu Boat Party,Moshulu,2026-09-18T22:00-0400,dj-parties,https://do215.com/events/2026/9/18/dj-deejay-s-country-music-night-moshulu-boat-party-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Punchis! Punchis! Banda Rave,Brooklyn Bowl Philadelphia,2026-09-18T22:00-0400,music,https://do215.com/events/2026/9/18/punchis-punchis-banda-rave-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Gallex,Vinyl,2026-09-18T22:00-0400,dj-parties,https://do215.com/events/2026/9/18/gallex-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,The Great Philadelphia Comedy Magic Walk,Philly Magic Tours,2026-09-18T13:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/the-great-philadelphia-comedy-magic-walk-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Priority Hoarding: A Retrospectacle,The Hairport,2026-09-18T16:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/priority-hoarding-a-retrospectacle-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Food: Chef Mel from The Golden Pineapple,Pentridge Station,2026-09-18T17:00-0400,food-drink,https://do215.com/events/2026/9/18/food-chef-mel-from-the-golden-pineapple-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Dickie Dickie Dicky Donnie,Asian Arts Initiative Third Floor,2026-09-18T17:45-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/dickie-dickie-dicky-donnie-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,Lunar Retreat,The Pearlstein Gallery,2026-09-18T18:45-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/lunar-retreat-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,"Phillies Specials in Restaurant, Food & Drink Deals",Brooklyn Bowl Philadelphia,2026-09-18T19:00-0400,music,https://do215.com/events/2026/9/18/phillies-specials-in-restaurant-food-drink-deals-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=2,2,"Phillies Specials, The Restaurant @ Brooklyn Bowl Philly",Brooklyn Bowl Philadelphia,2026-09-18T19:00-0400,music,https://do215.com/events/2026/9/18/phillies-specials-the-restaurant-brooklyn-bowl-philly-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,Shannon Fielder,Claude's Comedy Club & Bar,2026-09-18T19:00-0400,comedy,https://do215.com/events/2026/9/18/shannon-fielder-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,"Max Fry, aWannabe",Nikki Lopez,2026-09-18T19:00-0400,music,https://do215.com/events/2026/9/18/max-fry-awannabe-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,Elements,AUTOMAT Collective,2026-09-18T19:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/elements-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,Karen Tenderness in DOPPEL BÄNGER,The Magic Gardens Studio,2026-09-18T19:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/karen-tenderness-in-doppel-banger-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,Lunar Retreat,The Pearlstein Gallery,2026-09-18T19:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/lunar-retreat-tickets-b91wjox
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,Endgame by Samuel Beckett,Theatre Exile,2026-09-18T19:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/endgame-by-samuel-beckett-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,"Soul Exchange, Pure Bliss, and Cycle of Abuse",Ortlieb's,2026-09-18T19:00-0400,music,https://do215.com/events/2026/9/18/soul-exchange-and-pure-bliss-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,With Love from Ella,Philadelphia Clef Club of Jazz and Performing Arts,2026-09-18T19:00-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/with-love-from-ella-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,Philadelphia Comedy Club,Club 624,2026-09-18T19:00-0400,dj-parties,https://do215.com/events/2026/9/18/philadelphia-comedy-club-tickets
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,With Love From Ella,Philadelphia Clef Club of Jazz & Performing Arts,2026-09-18T19:00-0400,music,https://do215.com/events/2026/9/18/with-love-from-ella-tickets-b3wl30v
2026-09-18,https://do215.com/events/2026/09/18?page=3,3,Lunar Retreat,The Pearlstein Gallery,2026-09-18T19:15-0400,theatre-performing-arts,https://do215.com/events/2026/9/18/lunar-retreat-tickets-b91wjox
