source_date,source_page,page_number,title,venue,start_datetime,category_raw,event_url,weekday_num,weekday,weekend,category,listed_days,single_day_listing
2026-09-14,https://do215.com/events/2026/09/14,1,"Future Days Beer Go Big, Go Birds Giveaway",Future Days Beer,2026-08-26T16:00:00Z,food-drink,https://do215.com/events/2026/8/26/future-days-beer-go-big-go-birds-giveaway-tickets,1,周一,Weekday,Food & Drink,7,FALSE
2026-09-14,https://do215.com/events/2026/09/14,1,Rod Wave: Don't Look Down Tour,Xfinity Mobile Arena,2026-09-15T00:00:00Z,music,https://do215.com/events/2026/9/14/rod-wave-don-t-look-down-tour-tickets,1,周一,Weekday,Live Music,1,TRUE
2026-09-14,https://do215.com/events/2026/09/14,1,Chad Gray: 30 Years of Madnesss,Theatre of Living Arts,2026-09-14T23:00:00Z,music,https://do215.com/events/2026/9/14/chad-gray-30-years-of-madnesss-tickets-vm86eyo,1,周一,Weekday,Live Music,1,TRUE
2026-09-14,https://do215.com/events/2026/09/14,1,Cicada: I Was A Teenage Horror Movie (1997) + The Violence Movie (1988),PhilaMOCA,2026-09-14T23:30:00Z,music,https://do215.com/events/2026/9/14/cicada-i-was-a-teenage-horror-movie-1997-the-violence-movie-1988-tickets,1,周一,Weekday,Live Music,1,TRUE
2026-09-14,https://do215.com/events/2026/09/14,1,Fall: Intermediate I (2A) In Person,The German Society of Pennsylvania,2026-09-14T22:00:00Z,arts-culture,https://do215.com/events/2026/9/14/fall-intermediate-i-2a-in-person-tickets,1,周一,Weekday,Arts & Culture,1,TRUE
2026-09-14,https://do215.com/events/2026/09/14,1,The Rasmus,Underground Arts,2026-09-14T23:30:00Z,music,https://do215.com/events/2026/9/14/the-rasmus-tickets-70eqmm1,1,周一,Weekday,Live Music,1,TRUE
2026-09-14,https://do215.com/events/2026/09/14,1,The Rasmus,Union Transfer,2026-09-14T23:30:00Z,music,https://do215.com/events/2026/9/14/the-rasmus-tickets,1,周一,Weekday,Live Music,1,TRUE
2026-09-14,https://do215.com/events/2026/09/14,1,The Belair Lip Bombs,Johnny Brenda's,2026-09-15T00:00:00Z,music,https://do215.com/events/2026/9/14/the-belair-lip-bombs-tickets,1,周一,Weekday,Live Music,1,TRUE
2026-09-14,https://do215.com/events/2026/09/14,1,Steel Beans,MilkBoy,2026-09-15T00:00:00Z,music,https://do215.com/events/2026/9/14/steel-beans-tickets,1,周一,Weekday,Live Music,1,TRUE
2026-09-14,https://do215.com/events/2026/09/14,1,Bartram’s Garden Photo Exhibit at Studio 34,Studio 34,2026-09-14T21:00:00Z,theatre-performing-arts,https://do215.com/events/2026/9/14/bartram-s-garden-photo-exhibit-at-studio-34-tickets,1,周一,Weekday,Theatre & Performing Arts,1,TRUE
